Criterion	AspectID	Subsection	Description	Requirement	MaxMark	HowToMark
D	D20	HQ route state	DC summary имеет требуемый route type во всем HQ.	На CR1, CR2, DS1 и DS2 10.91.0.0/16 отображается как O E1 с tag 330 и корректным next hop. Итоговая RIB metric не обязана быть 50.	0.5	На четырех устройствах выполнить `show ip route 10.91.0.0`. Начислить по 0,125 при корректных type, tag и next hop. External metric 50 оценивается только в D13 по LSA.
D	D21	DC route state	HQ summary имеет требуемый route type во всем DC.	На DS3 и DS4 10.90.0.0/16 отображается как D EX с tag 30 и заданной external metric.	0.5	На DS3/DS4 выполнить `show ip route 10.90.0.0` и `show ip eigrp topology 10.90.0.0/16`. Начислить по 0,25 за устройство.
D	D22	Loop prevention	После convergence и process clear отсутствуют feedback и лишние specifics.	10.90/16 не возвращается как O E1; 10.91/16 не возвращается как D EX; VLAN /24 и transit /30 не создаются redistribution.	0.25	После экспертного clear OSPF/EIGRP проверить route tables и protocol databases. Оценивать только появление feedback/лишних external routes, не повторяя снижение за исходные ошибки других аспектов.
E	E1	eBGP IR1	IR1–ISP1 eBGP session установлена.	IR1 AS65320, ISP1 AS65000; peer 203.0.113.33 — Established.	0.25	На IR1 выполнить `show bgp ipv4 unicast summary` и neighbor detail.
E	E2	eBGP IR2	IR2–ISP1 eBGP session установлена.	IR2 AS65320, ISP1 AS65000; peer 203.0.113.37 — Established.	0.25	На IR2 выполнить BGP summary и neighbor detail.
E	E3	eBGP IR3	IR3–ISP1 eBGP session установлена.	IR3 AS65330, ISP1 AS65000; peer 203.0.113.41 — Established.	0.25	На IR3 выполнить BGP summary и neighbor detail.
E	E4	eBGP BR1	BR1–ISP1 eBGP session установлена.	BR1 AS65341, ISP1 AS65000; peer 203.0.113.45 — Established.	0.25	На BR1 выполнить BGP summary и neighbor detail.
E	E5	eBGP BR2	BR2–ISP1 eBGP session установлена.	BR2 AS65342, ISP1 AS65000; peer 203.0.113.49 — Established.	0.25	На BR2 выполнить BGP summary и neighbor detail.
E	E6	Session parameters	На eBGP sessions применены timers 10/30 и password Skill39@C3.	Все пять sessions устойчиво Established; negotiated keepalive/hold time — 10/30.	0.25	На customer edges выполнить `show bgp ipv4 unicast neighbors <peer> | include hold time|keepalive`. После экспертного clear sessions должны восстановиться, что подтверждает совпадение password.
E	E7	iBGP peering	IR1–IR2 iBGP работает по Loopback0.	Peers 10.255.90.1/10.255.90.2 находятся Established в AS65320.	0.25	На IR1/IR2 выполнить BGP summary и neighbor detail. Проверить peer addresses, local AS и Established.
E	E8	iBGP next hop/default filter	iBGP использует next-hop-self и не передает exact default.	Provider/branch routes имеют reachable next hop соответствующего IR; 0.0.0.0/0 отсутствует среди iBGP advertised/received routes.	0.25	Использовать `show bgp ipv4 unicast neighbors <peer> advertised-routes`, detailed BGP lookup и route table. Received-routes не требовать, если inbound soft reconfiguration не включена.
E	E9	Inbound IR1	IR1 принимает от ISP1 только default, 10.92.0.0/16 и 10.93.0.0/16.	10.91.0.0/16 и иные provider/customer specifics не принимаются.	0.25	Использовать `show bgp ipv4 unicast neighbors 203.0.113.33 routes`, если поддерживается; иначе сверить ISP1 advertised-routes и local BGP/RIB. Проверить только три разрешенных eBGP prefixes.
E	E10	Inbound IR2	IR2 принимает от ISP1 только default, 10.92.0.0/16 и 10.93.0.0/16.	HQ/DC site summaries через ISP1 не принимаются.	0.25	Использовать neighbor routes либо ISP1 advertised-routes + local BGP/RIB. Проверить только разрешенный набор.
E	E11	Inbound IR3	IR3 принимает от ISP1 только default, 10.92.0.0/16 и 10.93.0.0/16.	10.90.0.0/16 не принимается через ISP1; HQ достигается через controlled redistribution.	0.25	Проверить accepted routes from ISP peer и `show ip route 10.90.0.0`. BGP path 10.90/16 через ISP отсутствует.
E	E12	Inbound BR1	BR1 принимает только default, HQ, DC и BR2 summaries.	Разрешены 0/0, 10.90/16, 10.91/16 и 10.93/16.	0.25	Проверить neighbor routes/ISP1 advertised-routes и local BGP/RIB.
E	E13	Inbound BR2	BR2 принимает только default, HQ, DC и BR1 summaries.	Разрешены 0/0, 10.90/16, 10.91/16 и 10.92/16.	0.25	Проверить neighbor routes/ISP1 advertised-routes и local BGP/RIB.
E	E14	Local preference IR1	IR1 присваивает local preference 250 всем разрешенным provider routes.	Default, 10.92/16 и 10.93/16, полученные IR1, имеют LocPrf 250.	0.25	На IR1 выполнить detailed BGP lookup 0/0, 10.92/16 и 10.93/16. Проверить LocPrf 250 на локальных eBGP paths.
E	E15	Local preference IR2	IR2 присваивает local preference 150 всем разрешенным provider routes; HQ выбирает IR1.	Default на IR2 имеет LocPrf 150; branch routes на IR1/IR2 выбирают path через IR1 при штатной работе.	0.25	На IR2 проверить LocPrf 150 для 0/0, 10.92/16 и 10.93/16. На обоих IR подтвердить best branch paths через IR1.
E	E16	HQ advertisements	HQ анонсирует только 10.90.0.0/16 и 198.51.100.96/29.	ISP1 не получает HQ VLAN /24, transit /30, Loopback0 или default; public /29 поддерживается exact Null0 route.	0.25	На ISP1 и customer edges проверить advertised routes. На IR1/IR2 выполнить `show ip route 198.51.100.96 255.255.255.248` и подтвердить Null0.
E	E17	HQ conditional origin/prepend	HQ site summary originate только из active OSPF summary; IR2 выполняет prepend.	На IR1/IR2 нет static Null0 10.90/16. ISP1 видит path через IR1 с одним AS65320, через IR2 — с тремя появлениями AS65320.	0.25	На IR1/IR2 выполнить `show ip route 10.90.0.0` — source OSPF, не static. На ISP1 выполнить detailed BGP lookup 10.90/16 и public /29; проверить AS-path.
E	E18	DC advertisements/origin	IR3 анонсирует только 10.91.0.0/16 и 198.51.100.104/29.	10.91/16 originate из active EIGRP summary, не из static; public /29 поддерживается exact Null0.	0.25	На IR3 выполнить advertised-routes, `show ip route 10.91.0.0` и `show ip route 198.51.100.104 255.255.255.248`. На ISP1 проверить только два prefixes AS65330.
E	E19	Branch advertisements/Null0	BR1/BR2 анонсируют только свои site summaries, поддерживаемые exact Null0.	BR1: только 10.92.0.0/16; BR2: только 10.93.0.0/16. User/mgmt /24, Loopback0 и default не анонсируются.	0.25	На BR1/BR2 проверить `show ip route static` и advertised-routes; на ISP1 — AS-path 65341/65342. Начислить по 0,125 за филиал.
E	E20	Cross-customer route leak	Customer AS не передают ISP1 маршруты, ранее полученные от ISP1 или другого customer.	Отсутствует межклиентская повторная реклама; лишний локальный prefix площадки оценивается только в E16–E19.	0.25	На ISP1 просмотреть routes, received from каждого customer, и AS-path. Проверять только повторную рекламу provider/чужого customer route, не снижая повторно за локальные лишние prefixes.
F	F1	BR1 normal default	В штатном состоянии BR1 использует BGP default.	Active 0.0.0.0/0 имеет source BGP; floating static AD250 не выбран.	0.3	На BR1 выполнить `show ip route 0.0.0.0` и BGP lookup default. Ожидается B* route.
F	F2	BR1 floating static	При shutdown BGP neighbor BR1 активируется floating static AD250 и затем автоматически уступает BGP.	WAN остается up; static default через 203.0.113.45 становится active с AD250; после возврата neighbor BGP default снова preferred.	0.3	Эксперт отключает BGP neighbor на BR1. Проверить `[250/0]` в `show ip route 0.0.0.0`, Internet-test, затем восстановить neighbor и подтвердить возврат BGP default.
F	F3	BR2 normal default	В штатном состоянии BR2 использует BGP default.	Active 0.0.0.0/0 имеет source BGP; floating static AD250 не выбран.	0.3	На BR2 выполнить route/BGP lookup default. Ожидается B* route.
F	F4	BR2 floating static	При shutdown BGP neighbor BR2 активируется floating static AD250 и затем автоматически уступает BGP.	WAN остается up; static default через 203.0.113.49 становится active с AD250; после возврата neighbor BGP default снова preferred.	0.3	Аналогично F2 на BR2. Проверить `[250/0]`, Internet-test и автоматическое восстановление BGP default.
F	F5	HQ normal default	В штатном состоянии HQ использует IR1 как Internet edge.	OSPF default metric 10 выбран вместо metric 100; Internet-test 198.51.100.200 доступен.	0.3	На CR/DS выполнить `show ip route 0.0.0.0` и OSPF external database. Проверить functional traffic PC1→198.51.100.200.
F	F6	DC normal default	В штатном состоянии DC использует primary EIGRP default tag 333 от IR3.	DS3/DS4 active default — D EX через IR3; Internet-test доступен.	0.3	На DS3/DS4 проверить route/topology default и functional traffic к 198.51.100.200.
F	F7	IR1 WAN failover	При shutdown WAN IR1 HQ автоматически переходит на IR2.	Локальный eBGP default IR1 и OSPF LSA metric 10 исчезают; LSA metric 100 IR2 остается; ISP1 использует IR2 для HQ prefixes.	0.3	Эксперт отключает IR1 G0/3. Проверить BGP IR1, OSPF external database, HQ default, ISP1 paths и Internet-test. Затем восстановить interface.
F	F8	IR2 WAN failover	При shutdown WAN IR2 его условный OSPF default исчезает, а HQ продолжает использовать IR1.	Локальный eBGP default IR2 и OSPF LSA metric 100 исчезают; LSA metric 10 IR1 остается; default не сохраняется через iBGP.	0.3	Эксперт отключает IR2 G0/3. Проверить BGP IR2 и `show ip ospf database external 0.0.0.0`: LSA IR2 отсутствует, LSA IR1 остается. Проверить Internet-test, затем восстановить interface.
F	F9	IR3 WAN failover	При shutdown WAN IR3 DC использует backup default tag 334 от IR2.	Primary tag333 исчезает; DS3/DS4 выбирают D EX default через IR2; HQ–DC private связность и Internet-test сохраняются.	0.3	Эксперт отключает IR3 G0/3. Проверить BGP IR3, EIGRP route/topology default, tag334 и functional tests. Затем восстановить interface.
F	F10	Post-failover restoration	После F2, F4, F7, F8 и F9 сеть возвращается в исходное предпочтительное состояние.	BR defaults снова BGP; HQ default снова через IR1; DC default снова tag333 через IR3; все BGP sessions Established.	0.3	После восстановления всех изменений выполнить BGP summaries и route checks. Снижение только за невосстановленное состояние после действий эксперта, не за исходные ошибки, уже оцененные выше.
G	G1	IPv6 forwarding	IPv6 unicast routing включен на всех HQ/DC infrastructure devices.	IR1, IR2, CR1, CR2, DS1, DS2, IR3, DS3 и DS4 пересылают IPv6 traffic между interfaces.	0.25	Выполнить `show ipv6 protocols`, `show ipv6 route` и транзитный IPv6 ping через несколько routers с указанным source. Начислить пропорционально по 9 устройствам.
G	G2	IPv6 addressing	Преднастроенные IPv6 Loopback0 и routed-link addresses не изменены.	Все 9 Loopback0 /128 и 13 routed /64 links соответствуют таблицам раздела 6; сторона A использует ::1, сторона B — ::2.	0.25	Выполнить `show ipv6 interface brief` на девяти устройствах. Начислить 0,25 × число корректных interface addresses / 35.
G	G3	OSPFv3 process/router ID	OSPFv3 process 30 и router-id настроены корректно.	Все девять devices участвуют в process 30; router-id равен IPv4 Loopback0.	0.25	Выполнить `show ipv6 ospf | include Routing Process|Router ID`. Начислить пропорционально по 9 устройствам.
G	G4	Area/passive scope	Все IPv6 routed links находятся в area 0, Loopback0 passive.	OSPFv3 активен на 13 routed links; Loopback prefixes объявляются без neighbor на Loopback0.	0.25	Выполнить `show ipv6 ospf interface brief`, neighbor table и `show ipv6 route ospf`. Проверить area 0 и passive Loopback behavior.
G	G5	HQ IPv6 adjacencies	Все HQ OSPFv3 adjacencies находятся FULL.	Соседства соответствуют всем HQ routed links, IR1–IR2 и CR1–CR2.	0.25	На IR1/IR2/CR1/CR2/DS1/DS2 выполнить `show ipv6 ospf neighbor`. Начислить пропорционально ожидаемым FULL adjacencies.
G	G6	Transit IPv6 adjacency	IR2–IR3 OSPFv3 adjacency находится FULL.	Соседство работает по 2001:db8:9030:1::/64 в area 0.	0.25	На IR2/IR3 выполнить `show ipv6 ospf neighbor` и interface detail.
G	G7	DC IPv6 adjacencies	IR3–DS3 и IR3–DS4 OSPFv3 adjacencies находятся FULL.	Оба DC IPv6 routed links участвуют в area 0.	0.25	Выполнить `show ipv6 ospf neighbor` на IR3/DS3/DS4. Начислить по 0,125 за adjacency.
G	G8	IPv6 reachability/scope	Все IPv6 Loopback0 HQ/DC взаимно достижимы; unintended IPv6 routing отсутствует.	Нет OSPFv3 на WAN, branch, user/server/management VLAN; нет IPv6 default/BGP и duplicate external routes.	0.25	Выполнить matrix ping всех девяти Loopback0 и проверить `show ipv6 ospf interface brief`, `show ipv6 route`. Начислить 0,15 за reachability и 0,10 за корректный scope/absence unintended routes.
H	H1	PC1 acceptance	PC1 сохраняет требуемую функциональность.	DNS, OPS-SRV, PC3/PC4 и Internet-test 198.51.100.200 доступны.	0.2	С PC1 выполнить DNS lookup, ping/HTTP OPS-SRV, connectivity к PC3/PC4 и Internet-test. Начислить пропорционально независимым тестам.
H	H2	PC3 acceptance	PC3 сохраняет разрешенную inter-site и Internet connectivity.	Доступны HQ, OPS-SRV, BR2 и Internet-test.	0.2	С PC3 выполнить DNS/ping/HTTP matrix. Начислить пропорционально.
H	H3	PC4 acceptance	PC4 сохраняет разрешенную inter-site и Internet connectivity.	Доступны HQ, OPS-SRV, BR1 и Internet-test.	0.2	С PC4 выполнить DNS/ping/HTTP matrix. Начислить пропорционально.
H	H4	Guest acceptance	PC2 сохраняет GUEST restrictions.	Разрешенные DNS/Internet/OPS paths работают; запрещенные private/management/SSH paths блокируются.	0.2	С PC2 выполнить разрешенные и запрещенные тесты C2 baseline; подтвердить ACL counters через `show access-lists`.
H	H5	JUDGE SSH	JUDGE-SRV имеет SSH-доступ ко всем Cisco-устройствам.	SSH с 10.91.150.10 успешно устанавливается к 15 Cisco devices.	0.2	Выполнить scripted либо ручной SSH test. Начислить 0,20 × число успешных устройств / 15.
H	H6	JUDGE SNMPv3	JUDGE-SRV выполняет SNMPv3 polling всех Cisco-устройств.	SNMPv3 authPriv queries с credentials из защищенных Expert Data возвращают system data от 15 devices.	0.2	Использовать username, auth/priv algorithms и secrets из Expert Data/clean snapshot. Выполнить snmpwalk system OID с 10.91.150.10. Начислить пропорционально по 15 устройствам.
H	H7	Published service	HTTP к опубликованному OPS-SRV доступен через public address.	С PC3 и PC4 request к 198.51.100.105/healthz проходит через ISP1 и baseline NAT, возвращая ожидаемый health response из Expert Data.	0.2	На PC3 и PC4 выполнить `curl http://198.51.100.105/healthz` либо эквивалент. Начислить по 0,10 за площадку. Проверить `show ip nat translations`/`show ip nat statistics` на IR3.
H	H8	Telemetry baseline	NTP, Syslog, SNMPv3 и NetFlow продолжают работать.	Четыре telemetry functions соответствуют clean snapshot; collector получает logs/flows, managers выполняют polling.	0.2	Проверить `show ntp associations`, `show logging`, SNMPv3 polling с credentials из Expert Data и `show ip flow export`/`show flow exporter`, а также данные на SVR1. Начислить по 0,05 за функцию.
H	H9	NAT and ACL integrity	NAT и ACL baseline не нарушен.	Разрешенный трафик проходит, запрещенный блокируется; private inter-site traffic не NAT-тится.	0.2	Сгенерировать разрешенные/запрещенные flows. Проверить `show access-lists`, `show ip nat translations`, `show ip nat statistics`. Начислить 0,10 за ACL behavior и 0,10 за NAT behavior.
H	H10	Final restored state	После destructive tests экспертов все временно измененные состояния восстановлены.	Нет оставленных shutdown/neighbor shutdown; протоколы converged; final checker запускается в штатной topology.	0.2	Проверить interfaces и protocol summaries после всех тестов. Снижать только за невосстановленное временное состояние после действий эксперта; не повторять снижение за исходные ошибки, уже оцененные в других аспектах.
